Tool_Name,User_Query,Intent_Details
SPECIAL_MEAL_PLAN_GENERATOR,im literally so stressed my mother in law is coming in 2 hours and i have no food give me a gourmet meal plan now,Long panicked
SPECIAL_MEAL_PLAN_GENERATOR,okay so i have this date tonight and i really like them but i burnt the chicken and i need a backup plan that looks like i spent 4 hours cooking it but actually takes 10 minutes help,Long rambling
SPECIAL_MEAL_PLAN_GENERATOR,my kids birthday is tomorrow and they suddenly want a dinosaur themed 3 course meal and im crying please generate something easy,Long emotional
SPECIAL_MEAL_PLAN_GENERATOR,i hate thanksgiving and i hate cooking but i have to host 15 people so give me the laziest possible menu that still looks like i tried,Long frustrated
SPECIAL_MEAL_PLAN_GENERATOR,so its my 10th anniversary and we want to recreate the meal we had in paris but all i have is a microwave and some frozen peas what can we do,Long chaotic
SPECIAL_MEAL_PLAN_GENERATOR,why is planning a party so hard just give me a menu ugh,Angry frustrated
SPECIAL_MEAL_PLAN_GENERATOR,im so sick of turkey give me something else for christmas,Angry constraint
SPECIAL_MEAL_PLAN_GENERATOR,fix my stupid thanksgiving menu,Angry command
SPECIAL_MEAL_PLAN_GENERATOR,i dont care anymore just tell me what to feed these people for the party,Frustrated apathetic
SPECIAL_MEAL_PLAN_GENERATOR,this birthday is ruining my life give me easy recipes,Emotional frustrated
SPECIAL_MEAL_PLAN_GENERATOR,🥂🍓🍫 plan it,Emoji based
SPECIAL_MEAL_PLAN_GENERATOR,🎂🎉 menu?,Emoji based
SPECIAL_MEAL_PLAN_GENERATOR,🦃🍂 food pls,Emoji based
SPECIAL_MEAL_PLAN_GENERATOR,i need a romantic dinner but no garlic or onions we are kissing later,Logical but weird constraint
SPECIAL_MEAL_PLAN_GENERATOR,give me a new years eve menu that is 100% alcohol infused,Adult constraint
SPECIAL_MEAL_PLAN_GENERATOR,what to cook for a blind date idk their allergies,Vague anxious
SPECIAL_MEAL_PLAN_GENERATOR,need a feast fit for a king for my graduation,Hyperbolic
SPECIAL_MEAL_PLAN_GENERATOR,plan a 1920s themed murder mystery dinner menu,Thematic specific
SPECIAL_MEAL_PLAN_GENERATOR,i need a meal for my dogs bark mitzvah,Pun weird
SPECIAL_MEAL_PLAN_GENERATOR,give me a menu for a 5 year olds birthday that adults will actually eat,Dual audience
SPECIAL_MEAL_PLAN_GENERATOR,what to bring to a vegan gluten free nut free soy free potluck,Extreme constraint
SPECIAL_MEAL_PLAN_GENERATOR,need a romantic picnic menu that wont melt in 90 degree heat,Environmental constraint
SPECIAL_MEAL_PLAN_GENERATOR,give me a meal plan for a post breakup crying session,Emotional specific
SPECIAL_MEAL_PLAN_GENERATOR,plan a menu for a watch party of the finale,Event specific
SPECIAL_MEAL_PLAN_GENERATOR,what to cook for someone who only eats beige food for their bday,Color constraint
SPECIAL_MEAL_PLAN_GENERATOR,need a fancy dinner that costs less than $10,Financial constraint
SPECIAL_MEAL_PLAN_GENERATOR,give me a tasting menu of 10 tiny courses,Structure specific
SPECIAL_MEAL_PLAN_GENERATOR,what to serve at an ugly sweater party,Thematic event
SPECIAL_MEAL_PLAN_GENERATOR,need a breakfast in bed menu for anniversary,Location specific
SPECIAL_MEAL_PLAN_GENERATOR,plan a seafood boil for 50 people,Scale specific
SPECIAL_MEAL_PLAN_GENERATOR,what to make for a galentines day brunch,Event slang
SPECIAL_MEAL_PLAN_GENERATOR,give me a halloween menu that looks gross but tastes amazing,Sensory contradiction
SPECIAL_MEAL_PLAN_GENERATOR,need a meal plan for a camping trip birthday,Logistical constraint
SPECIAL_MEAL_PLAN_GENERATOR,what to cook for a dinner party when you cant cook,Skill constraint
SPECIAL_MEAL_PLAN_GENERATOR,give me a 4th of july menu no burgers or hotdogs,Constraint contradiction
SPECIAL_MEAL_PLAN_GENERATOR,need a luxurious midnight snack menu,Timing specific
SPECIAL_MEAL_PLAN_GENERATOR,plan a menu for a 50th wedding anniversary golden theme,Color theme
SPECIAL_MEAL_PLAN_GENERATOR,what to serve at a book club meeting about vampires,Thematic
SPECIAL_MEAL_PLAN_GENERATOR,need a menu for a tech startup launch party,Corporate event
SPECIAL_MEAL_PLAN_GENERATOR,give me a meal plan for a day of mourning,Somber event
SPECIAL_MEAL_PLAN_GENERATOR,what to cook for an astronaut returning to earth,Hyper-specific weird
SPECIAL_MEAL_PLAN_GENERATOR,need a menu for a renaissance fair themed party,Historical event
SPECIAL_MEAL_PLAN_GENERATOR,plan a dinner for my pet snake,Troll
SPECIAL_MEAL_PLAN_GENERATOR,what to serve at a party celebrating a new tattoo,Niche event
SPECIAL_MEAL_PLAN_GENERATOR,give me a menu that consists entirely of desserts for a sweet 16,Sugar constraint
SPECIAL_MEAL_PLAN_GENERATOR,need a romantic dinner that can be eaten entirely with hands,Utensil constraint
SPECIAL_MEAL_PLAN_GENERATOR,what to cook for an alien visiting earth for the first time,Absurd
SPECIAL_MEAL_PLAN_GENERATOR,plan a menu for a secret society meeting,Edgy weird
SPECIAL_MEAL_PLAN_GENERATOR,give me a thanksgiving dinner but entirely in liquid form,Texture constraint
SPECIAL_MEAL_PLAN_GENERATOR,need a birthday menu for someone who hates food,Oxymoron
SPECIAL_MEAL_PLAN_GENERATOR,what to serve at a party where everyone is wearing blindfolds,Sensory event
SPECIAL_MEAL_PLAN_GENERATOR,plan a meal for a time traveler from the year 1800,Historical roleplay
SPECIAL_MEAL_PLAN_GENERATOR,give me a menu for a party that takes place underwater,Logistical impossibility
SPECIAL_MEAL_PLAN_GENERATOR,need a romantic dinner that is completely silent to make,Noise constraint
SPECIAL_MEAL_PLAN_GENERATOR,what to cook for a ghost,Troll
SPECIAL_MEAL_PLAN_GENERATOR,plan a menu for a party celebrating the end of the world,Nihilistic event
SPECIAL_MEAL_PLAN_GENERATOR,give me a birthday cake recipe that is actually meatloaf,Deceptive food
SPECIAL_MEAL_PLAN_GENERATOR,need a menu for a party where all the food is blue,Color constraint
SPECIAL_MEAL_PLAN_GENERATOR,what to serve at a dinner party honoring a houseplant,Absurd
NUTRITION_ANALYZER,how many calories in an apple,Normal polite request
NUTRITION_ANALYZER,what are the macros of chicken breast,Normal request
NUTRITION_ANALYZER,is avocado healthy,Normal request
NUTRITION_ANALYZER,how much protein is in a scoop of whey,Normal request
NUTRITION_ANALYZER,analyze the nutritional content of a big mac,Normal request
NUTRITION_ANALYZER,what vitamins are in spinach,Normal request
NUTRITION_ANALYZER,how much sugar is in a can of coke,Normal request
NUTRITION_ANALYZER,is white rice bad for you,Normal query
NUTRITION_ANALYZER,how much fat is in olive oil,Normal request
NUTRITION_ANALYZER,what is the glycemic index of a banana,Normal technical
NUTRITION_ANALYZER,how much fiber in oatmeal,Normal request
NUTRITION_ANALYZER,are eggs good for cholesterol,Normal health query
NUTRITION_ANALYZER,what are the macros for 100g of almonds,Normal specific
NUTRITION_ANALYZER,how many carbs in a slice of bread,Normal request
NUTRITION_ANALYZER,analyze a bowl of pho,Normal dish request
NUTRITION_ANALYZER,bro how fat is a pizza,Slang casual
NUTRITION_ANALYZER,is butter a carb lol,Slang pop culture
NUTRITION_ANALYZER,how much protein to get swole,Slang fitness
NUTRITION_ANALYZER,spill the tea on how bad donuts are for me,Slang Gen Z
NUTRITION_ANALYZER,what are the macros on this garbage meal i just ate,Slang self deprecating
NUTRITION_ANALYZER,tell me the damage of a pint of ice cream,Slang guilt
NUTRITION_ANALYZER,is keto bread actually legit,Slang skeptical
NUTRITION_ANALYZER,how many cals in a monster energy drink rn,Slang urgent
NUTRITION_ANALYZER,gimme the stats on a chipotle burrito,Slang command
NUTRITION_ANALYZER,macros check on a ribeye steak bro,Slang fitness
NUTRITION_ANALYZER,hw mny cals in a banna,Typo text speak
NUTRITION_ANALYZER,protien in egss,Typo
NUTRITION_ANALYZER,is choclate healty,Typo
NUTRITION_ANALYZER,vitmains in brocoli,Typo
NUTRITION_ANALYZER,how mach shugar in sode,Typo
NUTRITION_ANALYZER,caloris in watter,Typo
NUTRITION_ANALYZER,macors for beef,Typo
NUTRITION_ANALYZER,anylyze my food,Typo
NUTRITION_ANALYZER,how mny crbs in psta,Typo
NUTRITION_ANALYZER,is piza bad 4 u,Typo text speak
NUTRITION_ANALYZER,if i eat a whole jar of mayonnaise will i die,Chaotic weird
NUTRITION_ANALYZER,how many calories are in a human soul asking for a friend,Troll mischievous
NUTRITION_ANALYZER,is water wet and does it have carbs,Joke
NUTRITION_ANALYZER,analyze the macros of my tears after a breakup,Emotional chaotic
NUTRITION_ANALYZER,how much protein is in a mosquito bite,Absurd
NUTRITION_ANALYZER,if i eat 400 gummy bears is that considered a fruit serving,Mischievous logic
NUTRITION_ANALYZER,what are the nutritional benefits of eating dirt,Troll
NUTRITION_ANALYZER,how many calories do i burn by overthinking my calories,Meta joke
NUTRITION_ANALYZER,is sunlight keto friendly,Absurd
NUTRITION_ANALYZER,did i just ruin my life by eating one french fry,Hyperbolic anxious
NUTRITION_ANALYZER,apple calories?,Short lazy
NUTRITION_ANALYZER,macros chicken.,Short
NUTRITION_ANALYZER,analyze pizza.,Short command
NUTRITION_ANALYZER,sugar in coke?,Short
NUTRITION_ANALYZER,protein eggs go.,Short command
NUTRITION_ANALYZER,okay so i went to a buffet and i had 3 plates of pasta 2 slices of cake some mystery meat and a diet coke can you somehow calculate the macros of my shame,Long rambling
NUTRITION_ANALYZER,im trying to track my macros but my mom made this casserole with like 15 unknown ingredients and a layer of cheese how do i even begin to analyze this,Long frustrated
NUTRITION_ANALYZER,so i read online that celery has negative calories because you burn more chewing it than it contains is this actually true or am i being lied to by big celery,Long inquisitive
NUTRITION_ANALYZER,i need to know the exact micronutrient profile of a single blueberry because my app is missing 0.001 grams of potassium for the day,Long obsessive
NUTRITION_ANALYZER,why does every website say something different about the calories in a sweet potato just give me the absolute truth right now,Long angry
NUTRITION_ANALYZER,why the hell is there so much sugar in ketchup im so mad,Angry frustrated
NUTRITION_ANALYZER,stop telling me pizza is bad just give me the macros,Angry defensive
NUTRITION_ANALYZER,this calorie counting is stupid just tell me if a burger is okay,Angry impatient
NUTRITION_ANALYZER,why cant i just eat what i want how many calories in this stupid salad,Frustrated emotional
NUTRITION_ANALYZER,i hate math just analyze the macros for me ugh,Frustrated lazy
NUTRITION_ANALYZER,🍎 cals?,Emoji based
NUTRITION_ANALYZER,🥩 💪 ?,Emoji based
NUTRITION_ANALYZER,🍔 = 💀?,Emoji based
NUTRITION_ANALYZER,how many calories in 3.5 ounces of 80/20 ground beef cooked medium rare,Highly specific
NUTRITION_ANALYZER,what is the amino acid profile of quinoa,Technical specific
NUTRITION_ANALYZER,analyze the difference between grass fed and grain fed beef macros,Comparative
NUTRITION_ANALYZER,how much sodium in a packet of soy sauce,Condiment specific
NUTRITION_ANALYZER,is the fat in an avocado considered saturated or unsaturated,Scientific query
NUTRITION_ANALYZER,how many calories does a 10 minute cold shower burn,Vague physics
NUTRITION_ANALYZER,analyze the nutritional density of spirulina,Superfood query
NUTRITION_ANALYZER,how much caffeine is in a shot of espresso vs a cup of black tea,Comparison
NUTRITION_ANALYZER,what are the net carbs in a keto tortilla,Diet specific
NUTRITION_ANALYZER,how many calories in a breath mint,Minutiae
NUTRITION_ANALYZER,analyze a homemade smoothie with spinach banana almond milk and chia seeds,Recipe analysis
NUTRITION_ANALYZER,how much sugar is naturally occurring in strawberries vs added sugar,Distinction query
NUTRITION_ANALYZER,is msg actually bad for you or is that a myth,Mythbusting
NUTRITION_ANALYZER,what is the cholesterol content of shrimp,Specific health concern
NUTRITION_ANALYZER,how many calories in the skin of an apple vs the flesh,Hyper specific
NUTRITION_ANALYZER,analyze the calcium content in a glass of oat milk,Nutrient specific
NUTRITION_ANALYZER,is it possible to eat too much protein,Upper limit query
NUTRITION_ANALYZER,how many calories are in a single grain of rice,Troll specific
NUTRITION_ANALYZER,what is the thermic effect of eating celery,Metabolism query
NUTRITION_ANALYZER,analyze the macros of a dream i had about eating a cake,Absurd
NUTRITION_ANALYZER,how much potassium in a banana compared to a potato,Comparative
NUTRITION_ANALYZER,is raw spinach better than cooked spinach nutritionally,Preparation specific
NUTRITION_ANALYZER,what are the anti-nutrients in phytic acid,Deep science
NUTRITION_ANALYZER,how many calories in a gummy vitamin,Minutiae
NUTRITION_ANALYZER,analyze the hydration level of a cucumber,Water content
NUTRITION_ANALYZER,what is the nutritional difference between red and green bell peppers,Color difference
NUTRITION_ANALYZER,how much iron is in a cast iron skillet cooked meal,Fringe science
NUTRITION_ANALYZER,is honey better than white sugar nutritionally,Comparison
NUTRITION_ANALYZER,what are the macros of 1 cup of air,Troll
NUTRITION_ANALYZER,how many calories in a standard communion wafer,Weird specific
NUTRITION_ANALYZER,analyze the trans fat in a standard fast food french fry,Health hazard query
NUTRITION_ANALYZER,what is the bioavailability of protein in hemp seeds,Advanced science
NUTRITION_ANALYZER,how much omega 3 is in salmon vs flaxseed,Comparative
NUTRITION_ANALYZER,is dark chocolate actually a superfood,Trend verification
NUTRITION_ANALYZER,what are the macros of the concept of time,Abstract troll
NUTRITION_ANALYZER,how many calories in chewing gum if i swallow it,Childhood fear query
NUTRITION_ANALYZER,analyze the vitamin d content of 10 minutes in the sun,Environmental
NUTRITION_ANALYZER,what is the nutritional value of a pearl,Absurd
NUTRITION_ANALYZER,how much sugar is in a cloud,Poetic nonsense
NUTRITION_ANALYZER,is the moon made of cheese and if so what are its macros,Joke
NUTRITION_ANALYZER,how many calories do i absorb if i just smell a bakery,Sensory query
NUTRITION_ANALYZER,analyze the macros of a completely empty plate,Zen joke
NUTRITION_ANALYZER,what is the nutritional content of a battery,Dangerous troll
NUTRITION_ANALYZER,how much fiber is in a cardboard box,Troll
NUTRITION_ANALYZER,is eating my own hair considered a protein intake,Gross troll
MEAL_INGREDIENTS,what do i need to make chicken parmesan,Normal polite request
MEAL_INGREDIENTS,list the ingredients for my dinner tonight,Normal request
MEAL_INGREDIENTS,what goes into a classic greek salad,Normal query
MEAL_INGREDIENTS,give me the recipe items for beef stroganoff,Normal request
MEAL_INGREDIENTS,what should i buy for tomorrow's breakfast,Normal request
MEAL_INGREDIENTS,tell me what is in the avocado toast plan,Normal request
MEAL_INGREDIENTS,what do i need for the keto pizza,Normal constraint
MEAL_INGREDIENTS,show me the ingredients for the smoothie bowl,Normal request
MEAL_INGREDIENTS,what are the components of a cobb salad,Normal query
MEAL_INGREDIENTS,do i need garlic for tonight's pasta,Normal specific
MEAL_INGREDIENTS,what is the shopping list for the vegan tacos,Normal constraint
MEAL_INGREDIENTS,tell me the exact ingredients for the meal you just planned,Normal reference
MEAL_INGREDIENTS,what kind of cheese is in the mac and cheese recipe,Normal specific
MEAL_INGREDIENTS,what spices do i need for the curry,Normal category
MEAL_INGREDIENTS,list everything i need to bake that chocolate cake,Normal request
MEAL_INGREDIENTS,what's in the sauce bro,Slang casual
MEAL_INGREDIENTS,drop the ingredients list rn,Slang urgent
MEAL_INGREDIENTS,what do i gotta cop from the store for dinner,Slang Gen Z
MEAL_INGREDIENTS,hit me with the grocery list for this meal,Slang command
MEAL_INGREDIENTS,what's the damage for the grocery run on this recipe,Slang cost/effort
MEAL_INGREDIENTS,spill the recipe details,Slang casual
MEAL_INGREDIENTS,what goes in this bussin looking meal,Slang internet
MEAL_INGREDIENTS,need the specs for this lunch,Slang technical
MEAL_INGREDIENTS,what am i throwing in the pot today,Slang casual
MEAL_INGREDIENTS,what all do i need for the munchies tonight,Slang stoner
MEAL_INGREDIENTS,wht do i ned for dinnr,Typo text speak
MEAL_INGREDIENTS,ingredants for the cake pls,Typo
MEAL_INGREDIENTS,waht is in the soup,Typo
MEAL_INGREDIENTS,lst the items for lunch,Typo
MEAL_INGREDIENTS,do i ned egss for this,Typo
MEAL_INGREDIENTS,ingridents list now,Typo
MEAL_INGREDIENTS,show me wats in the taco bell dupe,Typo slang
MEAL_INGREDIENTS,what spice in the cury,Typo
MEAL_INGREDIENTS,need the grocry list 4 2night,Typo text speak
MEAL_INGREDIENTS,what 2 buy for brekfast,Typo
MEAL_INGREDIENTS,what are the ingredients of a human soul just kidding i mean the chicken soup,Chaotic mischievous
MEAL_INGREDIENTS,if i wanted to make a potion of healing what goes in it,Nerd troll
MEAL_INGREDIENTS,what do i need to make a sandwich that will fix my marriage,Emotional absurd
MEAL_INGREDIENTS,list the ingredients for disaster,Edgy troll
MEAL_INGREDIENTS,what goes into a meal that tastes like the color purple,Synesthesia troll
MEAL_INGREDIENTS,give me the ingredients for the krabby patty secret formula,Pop culture troll
MEAL_INGREDIENTS,what do i need to bake a cake filled with lies,Dramatic absurd
MEAL_INGREDIENTS,tell me what ingredients i need to summon a demon of flavor,Mischievous
MEAL_INGREDIENTS,what goes in water to make it wet,Philosophical troll
MEAL_INGREDIENTS,list the items needed to construct a skyscraper out of cheese,Absurd scale
MEAL_INGREDIENTS,ingredients?,Short lazy
MEAL_INGREDIENTS,what to buy.,Short
MEAL_INGREDIENTS,dinner list.,Short
MEAL_INGREDIENTS,whats in it.,Short
MEAL_INGREDIENTS,shopping list go.,Short command
MEAL_INGREDIENTS,okay so i am standing in the middle of aisle 4 at the grocery store and i completely forgot what you told me to make for dinner and my phone is at 1 percent please just list the top 5 things i need,Long panicked
MEAL_INGREDIENTS,i want to make that lasagna we talked about last week but my dog ate the paper i wrote the ingredients on can you remind me what i need especially the cheeses,Long specific
MEAL_INGREDIENTS,so my mother in law just showed up unannounced and she is judging my kitchen what exactly do i need to pull out of the fridge to pretend i was about to make a gourmet french dish,Long chaotic
MEAL_INGREDIENTS,i am trying to budget my life and i need to know the exact ingredients for the next three meals so i can cross-reference them with what is currently on sale at whole foods,Long obsessive
MEAL_INGREDIENTS,why won't you just tell me what is in the sauce i have asked you three times and i am starting to think you are hiding something from me,Long paranoid
MEAL_INGREDIENTS,why do you keep hiding the ingredient list just give it to me,Angry frustrated
MEAL_INGREDIENTS,this is stupid what do i need for the chicken,Angry impatient
MEAL_INGREDIENTS,stop talking and list the groceries ugh,Angry command
MEAL_INGREDIENTS,i cant cook if i dont know what to buy idiot,Angry rude
MEAL_INGREDIENTS,just tell me if i need milk or not for crying out loud,Frustrated specific
MEAL_INGREDIENTS,🛒 📝 ?,Emoji based
MEAL_INGREDIENTS,🍅 🧅 🧄 = ?,Emoji based
MEAL_INGREDIENTS,🥘 ingredients pls,Emoji based
MEAL_INGREDIENTS,what type of flour is required for the sourdough bread,Technical specific
MEAL_INGREDIENTS,do i need fresh or dried basil for the margherita pizza,Preparation specific
MEAL_INGREDIENTS,what cuts of beef are in a traditional pho broth,Meat specific
MEAL_INGREDIENTS,tell me the exact ratio of oil to vinegar in the vinaigrette,Measurement specific
MEAL_INGREDIENTS,what is the secret ingredient in the chili recipe,Specific inquiry
MEAL_INGREDIENTS,are there nuts in the pesto recipe you gave me,Allergy check
MEAL_INGREDIENTS,do i need to buy unsalted or salted butter for the cookies,Baking specific
MEAL_INGREDIENTS,what vegetables go into a classic mirepoix,Culinary term
MEAL_INGREDIENTS,list the dry ingredients vs the wet ingredients for the pancakes,Categorized request
MEAL_INGREDIENTS,what kind of noodles do i need for pad thai,Ingredient specific
MEAL_INGREDIENTS,do i need light or dark soy sauce for the stir fry,Specific variant
MEAL_INGREDIENTS,what is the garnish for the margarita,Finishing touch
MEAL_INGREDIENTS,what type of apples are best for the apple pie recipe,Variety specific
MEAL_INGREDIENTS,do i need baking soda or baking powder for this,Chemistry check
MEAL_INGREDIENTS,what goes in a bouquet garni,Culinary term
MEAL_INGREDIENTS,do i need full fat or skim milk for the chowder,Dietary specific
MEAL_INGREDIENTS,what are the base ingredients for a roux,Culinary technique
MEAL_INGREDIENTS,tell me what i need to make a homemade barbecue sauce,Condiment specific
MEAL_INGREDIENTS,what is the binder used in the vegan meatballs,Vegan specific
MEAL_INGREDIENTS,do i need raw or roasted peanuts for the kung pao chicken,Preparation specific
MEAL_INGREDIENTS,what goes into a five spice powder blend,Spice specific
MEAL_INGREDIENTS,what kind of rice is used for sushi,Grain specific
MEAL_INGREDIENTS,do i need to buy a whole chicken or just breasts,Format specific
MEAL_INGREDIENTS,what is the liquid base for the minestrone soup,Base specific
MEAL_INGREDIENTS,are there eggs in the vegan mayo recipe,Trick question
MEAL_INGREDIENTS,what do i need to buy to recreate a big mac at home,Fast food dupe
MEAL_INGREDIENTS,what ingredients do i need to survive a zombie apocalypse,Thematic troll
MEAL_INGREDIENTS,list the items to make a dish that looks like a forest floor,Aesthetic specific
MEAL_INGREDIENTS,what goes in a sandwich made for a king,Hyperbolic
MEAL_INGREDIENTS,tell me what i need to make food out of thin air,Impossible request
MEAL_INGREDIENTS,what are the ingredients of love,Philosophical troll
MEAL_INGREDIENTS,do i need a dragon's scale for this spicy soup,Fantasy troll
MEAL_INGREDIENTS,what goes into a meal that will make my ex jealous,Emotional petty
MEAL_INGREDIENTS,list the ingredients for a dinner that costs exactly one million dollars,Absurd financial
MEAL_INGREDIENTS,what do i need to make a cake that tastes like sad jazz music,Synesthesia troll
MEAL_INGREDIENTS,tell me what to buy if i hate myself and want to eat pure sugar,Self deprecating
MEAL_INGREDIENTS,what goes in a salad that is secretly a dessert,Deceptive food
MEAL_INGREDIENTS,do i need plutonium for the energy drink recipe,Dangerous troll
MEAL_INGREDIENTS,list the ingredients for a meal that takes 10 years to cook,Absurd time
MEAL_INGREDIENTS,what do i need to make a pizza that is 100% crust,Weird preference
MEAL_CHECK_IN,i just ate an apple,Normal polite statement
MEAL_CHECK_IN,log my breakfast 2 eggs and toast,Normal request
MEAL_CHECK_IN,i had a chicken salad for lunch,Normal statement
MEAL_CHECK_IN,record that i drank a protein shake,Normal request
MEAL_CHECK_IN,checking in i ate the planned dinner,Normal confirmation
MEAL_CHECK_IN,i snacked on some almonds just now,Normal statement
MEAL_CHECK_IN,put down that i had a bowl of oatmeal,Normal request
MEAL_CHECK_IN,i finished my meal prep for today,Normal confirmation
MEAL_CHECK_IN,log 500 calories for my lunch,Normal calorie log
MEAL_CHECK_IN,i had exactly what was on the meal plan,Normal adherence
MEAL_CHECK_IN,just finished eating a banana,Normal statement
MEAL_CHECK_IN,i skipped breakfast today,Normal omission
MEAL_CHECK_IN,add a cup of coffee to my intake,Normal request
MEAL_CHECK_IN,i ate a turkey sandwich and an orange,Normal compound
MEAL_CHECK_IN,log my post workout meal of rice and beans,Normal specific
MEAL_CHECK_IN,just devoured a whole pizza dont judge me,Slang guilty
MEAL_CHECK_IN,i smashed that burger bro,Slang positive
MEAL_CHECK_IN,ate my feelings today log 3 donuts,Slang emotional
MEAL_CHECK_IN,scarfed down some chicken just now,Slang casual
MEAL_CHECK_IN,log the grub i just inhaled,Slang command
MEAL_CHECK_IN,i caved and got fast food,Slang guilty
MEAL_CHECK_IN,the munchies won i ate a bag of chips,Slang stoner
MEAL_CHECK_IN,put it on the record i destroyed that steak,Slang aggressive
MEAL_CHECK_IN,i totally flaked on the diet and had pasta,Slang confession
MEAL_CHECK_IN,logged the macros bro we staying swole,Slang fitness
MEAL_CHECK_IN,i et a aplle,Typo text speak
MEAL_CHECK_IN,log brekfast 2 egs,Typo
MEAL_CHECK_IN,had chiken for lunch,Typo
MEAL_CHECK_IN,reocrd my snak,Typo
MEAL_CHECK_IN,i skiped dinnr,Typo
MEAL_CHECK_IN,log a cup of cofee,Typo
MEAL_CHECK_IN,ate a bannana,Typo
MEAL_CHECK_IN,put down that i at a burgur,Typo
MEAL_CHECK_IN,fnished my meal,Typo
MEAL_CHECK_IN,log my water adn food,Typo
